family,Genus,species name,map_id_spp,IUCN red list category,IUCN_category_value,degree of restriction,weight_final,weight_standarized
Fabaceae,Vachellia,Vachellia campechiana,spp 1196,Least Concern,1,67.17,67.17,0.135
Fabaceae,Vachellia,Vachellia caven,spp 1197,Least Concern,1,16.17,16.17,0.032
Fabaceae,Vachellia,Vachellia collinsii,spp 1198,Least Concern,1,71.52,71.52,0.143
Fabaceae,Vachellia,Vachellia cornigera,spp 1199,Least Concern,1,47.41,47.41,0.095
Fabaceae,Vachellia,Vachellia hindsii,spp 1201,Least Concern,1,84.09,84.09,0.169
Fabaceae,Vachellia,Vachellia macracantha,spp 1202,Least Concern,1,56.32,56.32,0.113
Fabaceae,Vachellia,Vachellia pennatula,spp 1203,Near Threatened,2,50.17,100.34,0.201
Fabaceae,Vachellia,Vachellia pringlei,spp 1204,Least Concern,1,54.92,54.92,0.11
Fabaceae,Vachellia,Vachellia sphaerocephala,spp 1206,Least Concern,1,40.36,40.36,0.081
Fabaceae,Vachellia,Vachellia tortuosa,spp 1207,Least Concern,1,68.59,68.59,0.137
Fabaceae,Vatairea,Vatairea macrocarpa,spp 1209,Least Concern,1,21.71,21.71,0.044
Zygophyllaceae,Viscainoa,Viscainoa geniculata,spp 0033,Least Concern,1,38.57,38.57,0.077
Malvaceae,Waltheria,Waltheria ferruginea,spp 0426,,3,90.99,272.97,0.547
Malvaceae,Waltheria,Waltheria ovata,spp 0427,Near Threatened,2,46.17,92.34,0.185
Cactaceae,Weberocereus,Weberocereus bradei,spp 0306,Vulnerable,3,37.1,111.3,0.223
Cactaceae,Xiquexique,Xiquexique gounellei,spp 0267,,3,99.4,298.2,0.598
Cactaceae,Xiquexique,Xiquexique tuberculatus,spp 0274,Least Concern,1,100,100,0.2
Fabaceae,Zapoteca,Zapoteca alinae,spp 1210,Least Concern,1,64.09,64.09,0.128
Fabaceae,Zapoteca,Zapoteca caracasana,spp 1211,,3,41.58,124.74,0.25
Fabaceae,Zapoteca,Zapoteca formosa,spp 1212,Least Concern,1,46.26,46.26,0.093
Fabaceae,Zapoteca,Zapoteca lambertiana,spp 1213,,3,39.95,119.85,0.24
Fabaceae,Zapoteca,Zapoteca portoricensis,spp 1214,Least Concern,1,25.28,25.28,0.051
Fabaceae,Zapoteca,Zapoteca tetragona,spp 1215,Near Threatened,2,39.4,78.8,0.158
Fabaceae,Zollernia,Zollernia glabra,spp 1216,Least Concern,1,19.78,19.78,0.04
Fabaceae,Zollernia,Zollernia ilicifolia,spp 1217,Least Concern,1,41.99,41.99,0.084
Zygophyllaceae,Zygophyllum,Zygophyllum californicum,spp 0007,,3,68.97,206.91,0.415
Zygophyllaceae,Zygophyllum,Zygophyllum laeve ,spp 0009,,3,69.91,209.73,0.42
